mahalanobis,mahalanobis_mean,mahalanobis_max,mahalanobis_min,euclidean,euclidean_mean,euclidean_max,euclidean_min,cityblock,cityblock_mean,cityblock_max,cityblock_min,gpr_std,actual,gpr_pred,rf_pred,index
7.73041788435522,9.136509098231857,15.073913780514216,4.900376807557742,7.73041788435522,832.1512274732166,2461.468271753943,3.486573079687269,7.73041788435522,983.6250458026841,2691.2007092499994,6.578799999999992,0.5890063733056158,1.8245,1.2858778095979275,1.4275511878499991,0
4.015168719216048,6.251353687959548,13.58928009999428,2.9364198604556813,4.015168719216048,727.9490580807666,1928.1535824594202,3.0462808831529107,4.015168719216048,829.446453665022,2110.1661030719993,6.129791675999996,0.1500695425623058,1.734358324,1.9679942043656666,2.306314204589998,1
2.888646952210068,5.5793610491105445,13.222029917592913,2.0432864805821196,2.888646952210068,729.7299971241622,1967.8112733981513,3.0080737422309927,2.888646952210068,829.9226623816463,2126.0714924029994,5.676348521999994,0.10630268695514059,2.075071478,2.102843991709854,2.3217979219299982,6
4.554228262157386,6.6374631627380145,13.756903622361,3.161553488357644,4.554228262157386,729.9558981613372,1882.313325789734,3.0200343463222428,4.554228262157386,841.3002804164125,2084.39633755,6.125238662999996,0.2652170912793702,1.823068663,1.9721925843310544,1.59277861077,7
4.339776794193742,6.474482902442897,13.734806870461139,2.689980605165892,4.339776794193742,755.9871828650132,1755.3725984963482,4.473027836948379,4.339776794193742,863.9984323100954,1945.8489983070003,8.663731941999998,0.2147016412179566,1.989468058,2.0887195644916936,1.9315568074999998,8
3.7162423285843924,6.057116946472226,13.579896749202765,2.1304591487336566,3.7162423285843924,829.7044124044623,1950.049689861802,3.0131888280865926,3.7162423285843924,935.9142741924485,2178.0938644919997,5.863493227999998,0.103371092025267,2.072663228,2.204491542901934,2.203253360109999,9
4.351149147446174,6.49830071646411,13.832737526811407,2.460983930871016,4.351149147446174,1108.8863626140076,3003.352203923019,3.088218800452118,4.351149147446174,1228.3586737998028,3233.7727631810003,5.987386232999995,0.19633055577477732,1.677523767,1.803778457357744,1.2500600959499992,10
4.291098579635864,6.473810865326775,14.084138757680433,3.175182161836146,4.291098579635864,892.0442507346374,2606.326847670203,9.96979529627364,4.291098579635864,1016.2567702355734,2837.654068682,26.505360000000007,0.2744720747323812,1.12367,1.2876065852547924,1.7209998999999998,13
6.573693649135828,8.166081174331287,14.568456125221735,3.012658707069187,6.573693649135828,899.9584338246573,2625.1938088853403,3.999869261375926,6.573693649135828,1018.4790745213894,2834.3795925220006,6.090590000000001,0.4218037671827404,0.93351,1.3353685444304162,1.1053561234100007,18
4.115833663695149,6.314805253758549,13.915317034417187,2.2929604854571415,4.115833663695149,828.4719248544073,1947.0277048027676,3.4952463222067767,4.115833663695149,930.0004895092795,2171.9395633059994,6.82277,0.13295325980408104,2.1762,2.241190540813321,2.249847381599999,20
